country,year,gdp_growth,inflation,unemployment,gini,education,rnd,ict_specialists,renewables,emissions,debt,defense_spending,economic_affairs_spending,fuel_energy_spending,communication_spending,environment_spending,health_spending,education_spending,social_protection_spending,total_gov_expenditure,period_label,is_pre_shock,is_covid_transition,is_energy_transition,country_name,period_order,is_latest_year,gdp_growth_eu_long_zscore,inflation_eu_long_zscore,unemployment_eu_long_zscore,gini_eu_long_zscore,education_eu_long_zscore,rnd_eu_long_zscore,ict_specialists_eu_long_zscore,renewables_eu_long_zscore,emissions_eu_long_zscore,debt_eu_long_zscore,total_gov_expenditure_eu_long_zscore,defense_spending_eu_long_zscore,economic_affairs_spending_eu_long_zscore,fuel_energy_spending_eu_long_zscore,communication_spending_eu_long_zscore,environment_spending_eu_long_zscore,health_spending_eu_long_zscore,education_spending_eu_long_zscore,social_protection_spending_eu_long_zscore,gdp_growth_eu_year_zscore,inflation_eu_year_zscore,unemployment_eu_year_zscore,gini_eu_year_zscore,education_eu_year_zscore,rnd_eu_year_zscore,ict_specialists_eu_year_zscore,renewables_eu_year_zscore,emissions_eu_year_zscore,debt_eu_year_zscore,total_gov_expenditure_eu_year_zscore,defense_spending_eu_year_zscore,economic_affairs_spending_eu_year_zscore,fuel_energy_spending_eu_year_zscore,communication_spending_eu_year_zscore,environment_spending_eu_year_zscore,health_spending_eu_year_zscore,education_spending_eu_year_zscore,social_protection_spending_eu_year_zscore,gdp_growth_country_zscore,inflation_country_zscore,unemployment_country_zscore,gini_country_zscore,education_country_zscore,rnd_country_zscore,ict_specialists_country_zscore,renewables_country_zscore,emissions_country_zscore,debt_country_zscore,total_gov_expenditure_country_zscore,defense_spending_country_zscore,economic_affairs_spending_country_zscore,fuel_energy_spending_country_zscore,communication_spending_country_zscore,environment_spending_country_zscore,health_spending_country_zscore,education_spending_country_zscore,social_protection_spending_country_zscore
AT,2014,0.8,1.5,6.0,27.6,79.7,3.11,3.6,33.55,9.0,85.2,0.6,7.0,0.2,0.0,0.4,8.2,5.0,21.4,52.4,pre_shock_baseline,True,False,False,Austria,1,False,-0.4893079582076875,-0.3482922555287135,-0.3338527926582593,-0.5199012594339715,0.28750581085016214,1.6038254805226033,-0.5556136122745541,0.80376073655999,0.3337325482358604,0.4392870116284041,0.9795901299868737,-1.1424980192940188,0.8324854642012435,-0.7106189646622572,-0.6786395083752037,-1.1642283791222405,1.1545896387905026,0.05969300965788641,1.087952636580369,-0.6180193636535976,1.788167893679363,-0.9088750494937596,-0.7329883027762353,0.51975287283065,1.7147874145741286,0.07580823341442332,1.1776350847088328,0.008861517262975412,0.29423471339094953,0.8445879950829477,-1.02291285463413,0.6621644117705652,-0.7846901161432209,-0.6009252125773314,-1.3204737004767622,1.2982376982506731,-0.10388440069795596,1.0317393934253696,-0.11670793434357654,-0.5928239212422325,0.6481212076427786,0.1889822365046162,-2.130334515992101,-0.7916926494447457,-1.7541565643722996,-0.6603315739842468,0.6176188760351847,1.1612888871964562,-0.07188851546896002,-0.42817441928883604,-0.13151272746117304,-0.6019992531350795,-2.1408720964441876,-0.6170650134055821,-1.0345731959658537,0.17778975055468937,-0.108756411255832
AT,2015,1.3,0.8,6.1,27.2,80.4,3.07,4.0,33.497,9.2,85.6,0.6,6.0,0.3,0.0,0.4,8.3,5.0,21.3,51.2,pre_shock_baseline,True,False,False,Austria,1,False,-0.3515944605884287,-0.5510455500716094,-0.30810456489789856,-0.621960034384961,0.3642642780671334,1.5589883904247281,-0.28244394554169283,0.7994644961205082,0.407895336732718,0.44981488793571406,0.8142986437708788,-1.1424980192940188,0.24433611749124998,-0.5390537302728597,-0.6786395083752037,-1.1642283791222405,1.2219805670859678,0.05969300965788641,1.064306252046121,-0.513951211638547,1.3338446625185088,-0.8006282003925297,-0.7357209741943732,0.5609183497926098,1.6998211435400434,0.3476032418121966,1.1141286999803444,0.11563832370277796,0.36368916275698154,0.7895823656323397,-1.1126221667955087,0.36818280333968484,-0.5017248531689202,-0.6009252125773314,-1.2178659928412927,1.4139888521845996,-0.010663858340226323,1.0502482410767724,0.05001768614724705,-0.867946625023158,0.8209535296808522,-0.5669467095138419,-1.045800580577936,-1.3424353621019596,-1.0406013517462793,-0.6737753743957183,0.8731853074980194,1.2534242038665862,-0.5032196082827125,-0.42817441928883604,-0.8488548772493887,-0.17705860386325858,-2.1408720964441876,-0.6170650134055821,-0.8813030928597994,0.17778975055468937,-0.21751282251166015
AT,2016,2.1,1.0,6.5,27.2,80.4,3.13,4.2,33.37,9.2,83.4,0.6,5.9,0.3,0.1,0.4,8.3,4.9,21.1,50.6,pre_shock_baseline,True,False,False,Austria,1,False,-0.13125286439761458,-0.4931160373450677,-0.2051116538564551,-0.621960034384961,0.3642642780671334,1.6262440255715407,-0.145859112175262,0.7891697312938244,0.407895336732718,0.39191156824550843,0.7316529006628809,-1.1424980192940188,0.18552118282025085,-0.5390537302728597,1.1847435485194233,-1.1642283791222405,1.2219805670859678,-0.04209928049556234,1.0170134829776245,-0.39117822557378495,1.2018504251546633,-0.5573498005192595,-0.7662981701776892,0.509683208320118,1.772633797241263,0.3560246831021074,1.101288374976758,0.09949671172193834,0.32698508220707184,0.9536749144645369,-1.1064812740398067,1.013780798293216,-0.4929312304466779,1.8358568490953668,-0.9792938238560592,1.5061784086426149,0.04244542995170194,1.0166040971757195,0.3167786789325648,-0.7893401382286079,1.51228281783315,-0.5669467095138419,-1.045800580577936,-0.5163212931161388,-0.6838237454332687,-0.7059897640609448,0.8731853074980194,0.746679962180863,-0.71888515468959,-0.42817441928883604,-0.92058909222821,-0.17705860386325858,0.4281744192888378,-0.6170650134055821,-0.8813030928597994,-0.35557950110937875,-0.4350256450233203
AT,2017,2.3,2.2,5.9,27.9,80.7,3.07,4.4,33.136,9.4,79.1,0.6,6.1,0.3,0.1,0.4,8.3,4.9,20.7,49.8,pre_shock_baseline,True,False,False,Austria,1,False,-0.07616746534991112,-0.1455389609858176,-0.35960102041862,-0.4433571782207305,0.3971607640172635,1.5589883904247281,-0.009274278808831207,0.7702014244478095,0.48205812522957625,0.27873689794192386,0.6214585765188834,-1.1424980192940188,0.30315105216224913,-0.5390537302728597,1.1847435485194233,-1.1642283791222405,1.2219805670859678,-0.04209928049556234,0.9224279448406308,-0.6482078586258914,0.5964744218609945,-0.4843200503179135,-0.4984976430372172,0.5074453835145131,1.6880147359475703,0.4041244646325846,1.0268092370451822,0.1359868126134196,0.29320466207840423,0.942328538299092,-1.1385781051327954,1.1334997848211164,-0.5454824064336318,1.8358568490953673,-0.9883794788056671,1.5227634237161676,0.11884228780303913,1.0147469596395058,0.38346892712889413,-0.31770121746130686,0.4752888856047049,0.7559289460184514,-0.5810003225433003,-1.3424353621019596,-0.3270461391202582,-0.765345411160651,1.1287517389608561,-0.2437746920230584,-1.0064392165654275,-0.42817441928883604,-0.7771206622705673,-0.17705860386325858,0.4281744192888378,-0.6170650134055821,-0.8813030928597994,-0.35557950110937875,-0.8700512900466445
AT,2018,2.5,2.1,5.2,26.8,81.1,3.11,4.5,33.784,9.0,74.6,0.6,6.0,0.2,0.1,0.4,8.3,4.8,20.3,49.2,pre_shock_baseline,True,False,False,Austria,1,False,-0.021082066302207544,-0.17450371734908846,-0.5398386147411459,-0.7240188093359495,0.4410227452841031,1.6038254805226033,0.05901813787438389,0.8227290434060056,0.3337325482358604,0.16029828948468447,0.5388128334108865,-1.1424980192940188,0.24433611749124998,-0.7106189646622572,1.1847435485194233,-1.1642283791222405,1.2219805670859678,-0.14389157064901198,0.8278424067036378,-0.46110094950425573,0.24780170831299428,-0.44464075489922067,-0.6783696037936406,0.5009310670080537,1.680233267954751,0.34206030465305176,1.0499039881365329,0.054521529938139364,0.2195162409556653,0.8569554446878113,-1.1387156803493137,0.5603116339468579,-0.6857072086555531,1.6587111717603973,-1.0812791342480785,1.539097481842502,-0.028452266245079835,0.9775344814031661,0.45015917532522365,-0.35700446085858195,-0.7345373686618154,-1.3228756555322934,0.03873335483620681,-0.7916926494447457,-0.14865733596375375,-0.6009759268845388,0.6176188760351847,-1.2802970045620432,-1.2221047629723025,-0.42817441928883604,-0.8488548772493887,-0.6019992531350795,0.4281744192888378,-0.6170650134055821,-0.8813030928597994,-0.8889487527734515,-1.3050769350699647
AT,2019,1.8,1.5,4.8,27.5,81.3,3.14,4.3,33.755,9.1,71.0,0.6,6.0,0.2,0.1,0.4,8.4,4.8,20.2,49.1,pre_shock_baseline,True,False,False,Austria,1,False,-0.2138809629691699,-0.3482922555287135,-0.6428315257825894,-0.5454159531717191,0.4629537359175237,1.63745329809601,-0.07756669549204691,0.8203782703353458,0.3708139424842892,0.06554740271889312,0.5250385428928867,-1.1424980192940188,0.24433611749124998,-0.7106189646622572,1.1847435485194233,-1.1642283791222405,1.2893714953814321,-0.14389157064901198,0.8041960221693892,-0.8012151980458733,-0.20389009481103154,-0.4230359933281759,-0.5204850332680454,0.47012719714865575,1.6323157552659728,0.12055774841274984,0.9506440172994766,0.2505343054416779,0.19140332344753602,0.8974012047981875,-1.1855533939816016,0.8265554891621262,-0.7394484633738994,1.3877773329774221,-1.0950535604229277,1.6266433561904006,-0.09038449566097885,0.9573527236125887,0.21674330663807062,-0.5928239212422325,-1.4258666568141132,0.0,0.3486001935259714,-0.37863561495183223,-0.5054349422767642,-0.6083319686191171,0.745402091766602,-2.1095148545932294,-1.2580490207067825,-0.42817441928883604,-0.8488548772493887,-0.6019992531350795,0.4281744192888378,-0.6170650134055821,-0.7280329897537476,-0.8889487527734515,-1.4138333463257968
AT,2020,-6.3,1.4,6.0,27.0,81.3,3.21,4.5,36.545,8.4,83.2,0.6,10.1,0.2,0.1,0.4,9.2,5.1,22.8,57.3,covid_transition,False,True,False,Austria,2,False,-2.4448396244011628,-0.37725701189198435,-0.3338527926582593,-0.6729894218604552,0.4629537359175237,1.715918205767291,0.05901813787438389,1.0465388519609138,0.11124418274528702,0.38664763009185327,1.6545303653688548,-1.1424980192940188,2.655748439002223,-0.7106189646622572,1.1847435485194233,-1.1642283791222405,1.8284989217451464,0.16148529981133516,1.4190020200598457,-0.6304252687749377,0.5503588067615759,-0.31514187847072145,-0.5950261018133839,0.406437058279684,1.5985034433407035,0.024295924915271917,1.0612751267071618,0.3117884623700761,0.18052459622516834,1.1068347559397014,-1.214634980877623,1.6653047597918345,-0.9026945097694419,0.9622504486493761,-1.1858313183339821,1.4953362567278867,-0.0376330568426884,0.9923118187346165,-2.4842117453132713,-0.6321271646395076,0.6481212076427786,-0.9449111825230676,0.3486001935259714,0.585164132198289,-0.14865733596375375,0.09936997756970312,-0.1490804183533213,0.7006123038457963,1.6893801135205349,-0.42817441928883604,2.0922479368822953,-0.6019992531350795,0.4281744192888378,-0.6170650134055821,0.49812783509466874,0.7111590022187575,1.4138333463257968
AT,2021,4.9,2.8,6.2,26.7,81.5,3.26,4.5,34.643,8.7,82.4,0.6,9.4,0.1,0.1,0.4,10.1,4.9,21.9,56.0,covid_transition,False,True,False,Austria,2,False,0.6399427222702349,0.02824957719380733,-0.28235633713753755,-0.7495335030736971,0.4848847265509443,1.7719645683896348,0.05901813787438389,0.892360562981763,0.22248836549057338,0.36559187747723304,1.47546458863486,-1.1424980192940188,2.2440438963052283,-0.8821841990516547,1.1847435485194233,-1.1642283791222405,2.4350172764043263,-0.04209928049556234,1.2061845592516105,-0.8366981228916618,-0.031079543950380536,-0.15083252348208948,-0.6358781653624747,0.3735265186472145,1.672281106707844,-0.1922576203450606,0.7981582384904458,0.2896811396909751,0.2552003023598726,1.2129473872513543,-1.1581189940138694,1.6386774107229138,-0.8740801081259819,1.1835004861314593,-1.1862459795858824,1.99957406866272,-0.03097121284941646,1.1278518534036555,1.250442153681177,-0.08188175707765648,0.9937858517189274,-1.5118578920369095,0.6584670322157359,1.2735925230198033,-0.14865733596375375,-0.38308489757407366,0.23426922884093057,0.516341670505533,1.2221047629723025,-0.42817441928883604,1.5901084320305447,-1.0269399024069006,0.4281744192888378,-0.6170650134055821,1.8775587630491395,-0.35557950110937875,0.4350256450233203
AT,2022,5.3,8.6,4.8,27.8,81.4,3.17,5.0,34.057,8.1,78.1,0.6,8.1,1.0,0.1,0.5,9.4,4.7,21.5,53.0,energy_geopolitical_transition,False,False,True,Austria,3,False,0.7501135203656418,1.708205446263516,-0.6428315257825894,-0.4688718719584772,0.4739192312342348,1.6710811156694159,0.40048022129046057,0.8448587347263571,0.0,0.2524172071736484,1.0622358730948716,-1.1424980192940188,1.4794497455822362,0.6619029104529223,1.1847435485194233,-0.8398861651621321,1.963280778336076,-0.24568386080246074,1.1115990211146174,0.6545045075741415,-0.5769170506479535,-0.38176456684249005,-0.3492595249899817,0.32621634476321104,1.6071453870707368,0.009940119107961597,0.6529934222119981,0.1817231589098116,0.28419326890333535,1.08094491484978,-1.230682090629188,0.9323866103820836,-0.2496980950870742,0.6878106924619187,-0.8249579113843056,1.9449393049967645,-0.0891063023517908,1.2304349513145107,1.3838226500738355,2.1977063599642985,-1.4258666568141132,0.5669467095138419,0.5035336128708646,0.0344214195410751,0.7432866798187718,-0.5317276719348792,-0.5324300655475754,-0.47411298369838833,0.1437770309379175,-0.42817441928883604,0.6575636373058639,2.7975259410394884,0.4281744192888378,0.20568833780186035,0.8046680413067748,-1.4223180044375197,0.0
AT,2023,-0.8,7.7,5.1,28.1,81.5,3.22,5.3,41.6,7.5,77.8,0.6,7.4,0.5,0.1,0.6,9.0,4.9,21.2,52.2,energy_geopolitical_transition,False,False,True,Austria,3,False,-0.9299911505893158,1.4475226389940783,-0.5655868425015069,-0.3923277907452353,0.4848847265509443,1.72712747829176,0.6053574713401064,1.4563029165190664,-0.22248836549057338,0.24452129994316588,0.952041548950875,-1.1424980192940188,1.0677452028852412,-0.1959232614940649,1.1847435485194233,-0.5155439512020239,1.6937170651542182,-0.04209928049556234,1.0406598675118723,-0.7286508743322724,0.22711979232088925,-0.2947385503754109,-0.3687503477794572,0.35471156212957206,1.5659723805410173,0.14172943086944523,1.10303062227327,0.2224451355315769,0.3707809544601492,0.9525430471693785,-1.2041529852276462,0.9560340200000932,-0.6551698048018088,1.035287228614692,-0.5836701633103957,1.8526697148386273,-0.011398221349886785,1.1185308516461567,-0.650229919914212,1.8439771693888225,-0.9073696906998906,1.1338934190276837,0.6584670322157359,0.7228498103625955,1.2784530892882868,1.3816041488903077,-1.2991293599360816,-0.5432144712009866,-0.1437770309379175,-0.42817441928883604,0.15542413245411346,0.6728226946803835,0.4281744192888378,1.0284416890093027,0.1915876288825653,-0.35557950110937875,-0.3262692337674922
